Time,Channel 1,Channel 2
2.7905,-176.0548,149.7175
2.7935,92.8223,73.158
2.798,-140.9556,21.3175
2.802,119.2555,-187.3814
2.806,54.2245,-84.2428
2.8104,-166.3471,160.5151
2.8145,104.4617,81.5477
2.8185,-129.6102,27.2122
2.8215,128.1627,-183.9505
2.8255,60.5328,-82.6641
2.83,-163.152,160.8723
2.8339,-50.3167,81.3911
2.837,-26.1021,26.4682
2.841,190.0499,-184.6944
2.8451,90.4616,-83.456
2.8491,-154.4087,160.3661
2.8531,-75.316,81.2932
2.8571,154.8584,26.4218
2.8614,70.5867,-184.7064
2.8644,14.3458,-83.4483
2.8684,-195.2495,-16.2808
2.8729,-91.2283,197.3349
2.8769,155.7011,96.4249
2.8799,77.7963,-150.1429
2.8839,24.8226,-73.3513
2.8879,-185.0573,-20.4831
2.8919,-82.9224,186.6757
2.8959,161.6194,84.2667
2.8999,81.652,-160.8207
2.9039,26.4346,-81.6202
2.9081,-184.1732,-26.2772
2.9121,-83.2639,183.4929
2.9152,161.0565,82.6194
2.9192,81.2465,-161.0474
2.9234,26.1793,-81.2531
2.9275,-184.4829,-25.8427
2.9307,-83.7238,184.2381
2.9347,160.9482,83.397
2.9392,-97.252,17.3281
2.9422,143.12,-198.0029
2.9474,-113.7212,-96.4597
2.9504,-49.1286,149.7392
2.9545,171.048,73.177
2.9588,-101.1166,21.3319
2.9629,132.3877,-187.3719
2.9667,51.3878,-84.2374
2.9708,-176.382,160.6926
2.9743,92.0902,81.4331
2.9783,-141.0705,27.1422
2.9825,119.1273,-183.8107
2.9856,54.1113,-82.7904
2.9896,-166.4332,160.8059
2.994,-72.7845,81.3669
2.9971,-13.2748,26.6448
3.0014,198.3431,-184.7949
3.0054,95.0084,-83.3315
3.0095,-152.5638,160.4098
3.0132,-75.3498,81.1129
3.0176,-23.149,26.3322
3.0207,186.0479,-184.7341
3.0247,83.5681,-83.4394
3.0293,-161.6116,160.4088
3.0328,-81.7982,81.342
3.0368,150.5536,26.4654
3.0408,67.7858,-184.6729
3.0449,12.7962,-83.4257
3.0486,-195.8915,-16.4428
3.0526,-91.4693,197.4559
3.0558,156.0576,96.4956
3.0598,78.399,-150.2853
3.0633,25.0988,-73.0536
3.0677,-184.821,-20.5352
3.0722,-82.9221,186.8027
3.0762,161.8486,84.114
3.0794,81.7847,-160.916
3.0834,26.495,-81.6697
3.0874,-184.3354,-26.4699
3.0918,-83.1627,183.6098
3.0951,161.2759,82.8754
3.0994,-97.1002,-161.1138
3.1034,143.1555,-81.2988
3.1074,-114.2768,-25.8699
3.1107,-48.8426,184.225
3.1148,171.1924,83.3934
3.119,-101.0696,17.33
3.1226,132.5517,-197.9985
3.1269,-125.955,-96.4547
3.1308,-60.3048,149.7435
3.1349,162.3235,73.1804
3.1379,-106.5662,21.3341
3.1419,129.3767,-187.3705
3.1463,49.9691,-84.2369
3.1503,-176.9151,160.5176
3.1534,92.1033,81.723
3.1576,-140.6038,27.0964
3.1616,119.9226,-184.0213
3.1646,54.9396,-82.8747
3.1692,-166.0795,160.9761
3.1737,-72.2098,81.2885
3.1777,-13.385,26.6273
3.1817,198.2498,-184.6032
3.1857,94.9398,-83.4151
3.189,-152.6081,25.2064
3.193,-75.1989,170.054
3.1972,129.7529,79.952
3.2004,85.478,-158.4234
3.205,22.74,-75.6572
3.2082,-191.4527,-19.4995
3.2122,-90.2677,189.182
3.2162,154.865,87.3029
3.2206,76.3545,-158.5558
3.2247,22.9654,-79.438
3.2285,-186.6357,-24.8603
3.2317,-84.0882,184.2746
3.2358,160.8649,82.941
3.2401,81.2376,-161.1921
3.2436,26.4409,-81.4378
3.2481,-184.302,-25.8413
3.2513,-83.265,183.9848
3.2553,161.2963,83.0559
3.2593,81.219,-160.7137
3.2633,26.1942,-81.0294
3.2673,-184.4488,-25.7136
3.2703,-83.6856,184.2964
3.275,160.982,83.4091
3.279,-97.2263,17.3143
3.283,143.1372,-198.0276
3.287,-113.5362,-96.4858
3.291,-49.2391,149.7168
3.294,170.9795,72.9853
3.298,-101.1518,21.4361
3.302,132.5508,-187.3085
3.306,51.2746,-84.2059
3.3103,-176.4426,160.7024
3.3142,92.242,81.6052
3.3182,-141.1857,27.0181
3.3222,119.0698,-184.0658
3.3261,54.0932,-82.7191
3.3301,-166.428,160.8577
3.3331,104.2455,81.3998
3.3371,-129.5089,26.4873
3.3411,128.0597,-184.4981
3.3451,60.5174,-83.5523
3.3493,-162.5943,160.486
3.3526,-70.7455,81.1536
3.3576,-12.8591,26.1727
3.3609,198.0284,-184.6192
3.3644,94.3721,-83.3781
3.3689,-153.4318,21.7626
3.3724,-75.6636,172.4127
3.3764,154.2396,81.3884
3.3809,68.8836,-157.7061
3.3841,12.9015,-75.432
3.3886,-196.1392,-19.5657
3.3918,-92.0312,188.9774
3.3958,155.2551,87.062
3.3998,77.6097,-158.599
3.4032,24.8013,-79.7226
3.4075,-184.8149,-25.0452
3.412,-83.1112,183.9974
3.4152,161.5915,83.014
3.4192,81.7115,-161.1268
3.4232,26.8791,-81.3876
